1st author	Year	File name	Collection name	Paper DOI	URL	Map used	Map type	Sample size
Park	2017	Park_2017	Integration of individual and social information for decision-making in groups of different sizes	10.1371/journal.pbio.2001958 	https://neurovault.org/collections/2503/	Brain regions for changing judgments to conform to the group’s	T	23
Chang	2011	Chang_2011	Great expectations: neural computations underlying the use of social norms in decision-making	10.1093/scan/nsr094 	https://neurovault.org/collections/298/	Offer3_BetweenExpect	Z	17
Bang	2018	Bang_2018	Distinct encoding of decision confidence in human medial prefrontal cortex	10.1073/pnas.1800795115	https://neurovault.org/collections/3792/	GLM1: Group-level main effect of coherence (un-masked)	T	32
Fleming	2018	Fleming_2018	Neural mediators of changes of mind about perceptual decisions	10.1038/s41593-018-0104-6 	https://neurovault.org/collections/2851/	Parametric effect of reported confidence	T	22
Gonzalez_Alam	2018	Gonzalez_Alam_2018	Meaningful inhibition: Exploring the role of meaning and modality in response inhibition	10.1016/j.neuroimage.2018.06.074 	https://neurovault.org/collections/3158/	Figure 2. Semantic and Perceptual Inhibition Overlap	Z	27
Tom	2007	Tom_2007	The Neural Basis of Loss Aversion in Decision-Making Under Risk	10.1126/science.1134239 	https://neurovault.org/collections/3/	task001_cope03_parametric gain	T	16
Waskom	2016	Waskom_2016	Adaptive Engagement of Cognitive Control in Context-Dependent Decision Making	10.1093/cercor/bhv333 	https://neurovault.org/collections/1070/	Context prediction error	Z	15
Op_de_Macks	2018	Op_de_Macks_2018	Supplement: Neural correlates of adolescent decision-making and outcome processing during the Yellow Light Game	10.1016/j.neuroimage.2018.06.058 	https://neurovault.org/collections/2654/	"Stop > Go (N=78, 11-17 years-old, community sample)"	T	78
Suzuki	2015	Suzuki_2015	Neural Mechanisms Underlying Human Consensus Decision-Making	10.1016/j.neuron.2015.03.019 	https://neurovault.org/collections/507/	Fig.4A (Main + Control)	T	20
Rahnev	2016	Rahnev_2016	Causal evidence for frontal cortex organization for perceptual decision making	10.1073/pnas.1522551113 	https://neurovault.org/collections/599/	Stimulus/perceptual judgment epoch	T	17
Li	2017	Li_2017	Reason's Enemy Is Not Emotion: Engagement of Cognitive Control Networks Explains Biases in Gain/Loss Framing	10.1523/jneurosci.3486-16.2017 	https://neurovault.org/collections/1484/	"Frame-Consistent>Framing-Inconsistent, unthresholded"	Z	143
Aridan	PrePrint	Aridan_PrePrint	Neural correlates of effort-based valuation with prospective choices	N/A	https://neurovault.org/collections/3955/	effort_gain_pos	Z	40
Cho	2016	Cho_2016	Reward Sensitivity Enhances Ventrolateral Prefrontal Cortex Activation during Free Choice	10.3389/fnins.2016.00529	https://neurovault.org/collections/2132/	Figure2 Free vs Forced TEPS unthresh	Z	33
Kameda	2016	Kameda_2016	Rawlsian maximin rule operates as a common cognitive anchor in distributive justice and risky decisions	10.1073/pnas.1602641113 	https://neurovault.org/collections/1478/	Activity of the right temporo-parietal junction (RTPJ) during decision making.	T	30
Van_der_Laan	2014	Van_der_Laan_2014	"Sweet lies: neural, visual, and behavioral measures reveal a lack of self-control conflict during food choice in weight-concerned women"	10.3389/fnbeh.2014.00184 	https://neurovault.org/collections/724/	Choice periods SC vs NSC	T	20
Hunt	2014	Hunt_2014	Hierarchical competitions subserving multi-attribute choice	10.1038/nn.3836 	https://neurovault.org/collections/122/	Integrated value competition	Z	19
Korn	2018	Korn_2018	Heuristic and optimal policy computations in the human brain during sequential decision-making	10.1038/s41467-017-02750-3 	https://neurovault.org/collections/3242/	GLM2: Participants’ choices (binary parametric modulator: foraging versus waiting)	T	28
Fujiwara	2018	Fujiwara_2018	Ventrolateral Prefrontal Cortex Updates Chosen Value According to Choice Set Size	10.1162/jocn_a_01207 	https://neurovault.org/collections/2886/	spmT 0001	T	18
